timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,3.11,-74.65,-3.91,-0.13,-0.04,0.94,n,1715784946791
14,1.40,-54.14,-2.99,-0.10,-0.04,0.98,n,1715784947094
"
26",-1.83,-27.77,-2.20,-0.15,-0.05,1.07,n,1715784947094
"
38",-8.42,-0.12,-1.22,-0.23,-0.09,1.09,n,1715784947094
"
50",-12.33,37.96,-1.59,-0.20,-0.11,1.12,n,1715784947094
"
62",-14.28,99.18,1.53,-0.18,-0.09,1.08,n,1715784947094
"
74",-14.77,180.97,6.23,-0.11,-0.11,1.14,n,1715784947094
"
86",-9.28,271.30,14.71,0.05,-0.11,1.05,n,1715784947094
"
98",-5.62,359.50,17.33,0.11,-0.17,0.93,n,1715784947094
"
110",0.06,428.28,22.22,-0.03,-0.20,0.70,n,1715784947094
"
122",1.22,467.41,30.09,-0.46,-0.18,0.48,n,1715784947094
"
134",-4.52,432.50,32.65,-0.88,-0.15,0.33,n,1715784947094
"
146",-9.40,350.46,29.54,-1.26,-0.15,0.08,n,1715784947094
"
158",-3.85,223.21,28.26,-1.78,-0.20,0.09,n,1715784947094
"
170",13.18,57.56,20.75,-1.90,-0.16,0.29,n,1715784947094
"
182",23.93,-116.70,11.47,-1.58,-0.01,0.50,n,1715784947094
"
194",8.91,-259.28,1.89,-1.28,0.07,0.67,n,1715784947094
"
206",-12.94,-369.45,-7.45,-0.95,0.01,0.68,n,1715784947094
"
218",-24.17,-434.02,-12.88,-0.60,-0.12,0.64,n,1715784947094
"
230",-20.57,-464.17,-10.13,-0.35,-0.16,0.69,n,1715784947094
"
242",-13.55,-460.57,-4.03,-0.18,-0.20,0.85,n,1715784947094
"
254",-6.53,-409.42,8.61,-0.,1715784947094
01,-0.17,1.11,n,1715784947094
"
266",-2.99,-315.92,8.36,0.13,-0.06,1.23,n,1715784947094
"
278",1.16,-193.30,-2.01,0.32,-0.04,1.27,n,1715784947094
"
290",8.18,-48.46,-10.50,0.46,-0.09,1.31,n,1715784947094
"
302",14.59,98.75,-6.84,0.28,-0.12,1.22,n,1715784947094
316,16.91,309.39,-0.67,0.09,-0.14,1.07,n,1715784947401
"
328",23.13,454.71,5.43,0.11,-0.14,0.90,n,1715784947401
"
340",30.82,593.69,6.53,0.22,-0.18,0.80,n,1715784947401
"
352",41.20,717.10,2.99,0.31,-0.18,0.55,n,1715784947401
"
364",39.67,799.93,-8.30,0.20,-0.14,0.15,n,1715784947401
"
376",21.36,826.66,-9.77,-0.28,-0.15,-0.34,n,1715784947401
"
388",-2.20,754.64,-2.38,-1.21,-0.22,-0.65,n,1715784947401
"
400",-2.81,569.52,12.27,-2.09,-0.19,-0.62,n,1715784947401
"
412",2.93,323.06,10.80,-2.51,-0.20,-0.49,n,1715784947401
"
424",13.61,65.12,10.01,-2.50,-0.14,-0.42,n,1715784947401
"
436",20.45,-155.27,4.94,-2.07,-0.02,-0.32,n,1715784947401
"
448",21.12,-300.72,-0.67,-1.52,0.02,-0.22,n,1715784947401
"
460",14.95,-392.27,-0.73,-1.22,0.02,-0.10,n,1715784947401
"
472",6.65,-463.20,3.60,-1.12,0.00,-0.00,n,1715784947401
"
484",-8.24,-533.63,8.06,-1.07,0.02,-0.06,n,1715784947401
"
496",-26.31,-611.51,6.59,-0.95,0.01,0.01,n,1715784947401
"
508",-36.80,-672.55,1.04,-0.60,-0.05,0.16,n,1715784947401
"
520",-37.60,-696.47,-10.68,-0.29,-0.09,0.43,n,1715784947401
"
532",-33.75,-663.21,-13.98,-0.05,-0.13,0.69,n,1715784947401
"
544",-31.56,-592.41,-12.94,0.06,-0.11,0.96,n,1715784947401
"
556",-30.58,-47,1715784947401
6.56,-8.48,0.13,-0.15,1.21,n,1715784947401
"
568",-20.20,-330.26,-3.23,0.25,-0.09,1.28,n,1715784947401
"
580",-10.07,-152.10,-1.40,0.41,-0.01,1.23,n,1715784947401
"
592",-0.85,38.94,-3.17,0.41,-0.01,1.13,n,1715784947401
"
604",8.36,218.20,0.06,0.30,-0.08,1.03,n,1715784947401
616,19.90,378.23,4.27,0.25,-0.13,0.91,n,1715784947443
"
628",28.87,518.37,10.93,0.21,-0.22,0.76,n,1715784947443
"
640",36.74,621.70,11.96,0.04,-0.22,0.63,n,1715784947443
"
652",45.35,674.38,3.78,-0.27,-0.16,0.46,n,1715784947443
664,36.07,661.99,-7.08,-0.72,-0.12,0.19,n,1715784947488
"
676",17.70,572.88,-8.97,-1.14,-0.15,0.09,n,1715784947488
"
688",4.39,432.92,-7.32,-1.65,-0.20,0.02,n,1715784947488
700,0.37,240.42,1.89,-2.15,-0.26,0.04,n,1715784947536
"
712",5.98,19.65,0.00,-2.25,-0.15,-0.00,n,1715784947536
"
724",12.82,-176.09,-2.38,-1.78,-0.08,-0.06,n,1715784947536
