timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,2.99,-15.75,2.32,-0.47,-0.25,0.90,n,1715785564879
14,2.93,-14.40,2.20,-0.46,-0.25,0.91,n,1715785564957
"
26",1.59,-14.04,2.81,-0.45,-0.26,0.90,n,1715785564957
"
38",1.22,-14.89,2.50,-0.44,-0.24,0.90,n,1715785564957
"
50",0.43,-14.71,2.01,-0.44,-0.25,0.89,n,1715785564957
"
62",0.00,-15.63,0.98,-0.45,-0.25,0.88,n,1715785564957
"
74",-1.16,-17.94,0.67,-0.46,-0.26,0.89,n,1715785564957
86,-1.89,-18.43,0.24,-0.46,-0.25,0.90,n,1715785565000
"
98",-2.32,-19.90,-0.18,-0.45,-0.25,0.91,n,1715785565000
"
110",-2.14,-19.04,-0.31,-0.46,-0.26,0.92,n,1715785565000
"
122",-3.11,-19.53,0.18,-0.46,-0.27,0.91,n,1715785565000
136,-2.56,-17.70,0.06,-0.45,-0.27,0.91,n,1715785565179
"
148",-2.14,-17.33,-0.06,-0.46,-0.26,0.91,n,1715785565179
"
160",-1.95,-17.58,0.61,-0.47,-0.27,0.91,n,1715785565179
"
172",-1.89,-16.48,0.98,-0.46,-0.27,0.91,n,1715785565179
"
184",-1.59,-16.91,0.98,-0.47,-0.27,0.92,n,1715785565179
"
196",-1.53,-17.15,1.22,-0.47,-0.26,0.91,n,1715785565179
"
208",-0.85,-18.13,1.34,-0.45,-0.27,0.91,n,1715785565179
"
220",-1.28,-18.49,1.28,-0.45,-0.26,0.90,n,1715785565180
"
232",-1.28,-16.48,1.46,-0.46,-0.26,0.91,n,1715785565180
"
244",-1.28,-16.85,1.22,-0.46,-0.26,0.90,n,1715785565180
"
256",-0.79,-17.64,1.34,-0.44,-0.27,0.91,n,1715785565180
"
268",-1.65,-16.72,0.85,-0.44,-0.27,0.90,n,1715785565180
"
280",-1.65,-17.64,0.67,-0.44,-0.27,0.90,n,1715785565180
"
292",-1.83,-17.40,0.06,-0.44,-0.27,0.89,n,1715785565180
304,-1.89,-17.82,-0.61,-0.45,-0.27,0.90,n,1715785565486
"
316",-1.89,-18.62,-0.92,-0.44,-0.27,0.90,n,1715785565486
"
328",-2.44,-19.90,-0.85,-0.44,-0.28,0.93,n,1715785565486
"
340",-2.69,-19.65,-1.65,-0.45,-0.28,0.92,n,1715785565486
"
352",-1.71,-21.06,-1.65,-0.45,-0.28,0.92,n,1715785565486
"
364",-1.71,-20.57,-1.34,-0.45,-0.28,0.92,n,1715785565486
"
376",-0.85,-20.87,-1.59,-0.45,-0.29,0.91,n,1715785565486
"
388",-0.24,-19.23,-1.04,-0.46,-0.30,0.93,n,1715785565486
"
400",0.98,-19.41,-1.10,-0.45,-0.29,0.92,n,1715785565486
"
412",1.22,-18.55,-0.43,-0.46,-0.29,0.92,n,1715785565486
"
424",1.83,-18.07,-0.12,-0.44,-0.29,0.91,n,1715785565486
"
436",1.83,-16.72,0.00,-0.44,-0.28,0.91,n,1715785565486
"
448",2.50,-16.30,0.24,-0.45,-0.27,0.92,n,1715785565486
"
460",2.20,-15.32,0.55,-0.45,-0.26,0.91,n,1715785565486
"
472",1.89,-16.66,0.37,-0.45,-0.28,0.90,n,1715785565486
"
484",1.46,-16.36,0.92,-0.44,-0.27,0.90,n,1715785565486
"
496",1.46,-18.43,1.28,-0.44,-0.27,0.89,n,1715785565486
"
508",0.98,-18.07,0.98,-0.45,-0.26,0.91,n,1715785565486
"
520",0.00,-17.40,1.16,-0.43,-0.28,0.91,n,1715785565486
"
532",-0.49,-18.13,0.85,-0.42,-0.29,0.91,n,1715785565486
"
544",-0.85,-16.97,0.49,-0.42,-0.29,0.91,1715785565486
,n,1715785565486
"
556",-1.53,-16.05,0.55,-0.42,-0.28,0.90,n,1715785565486
"
568",-0.85,-16.36,-0.49,-0.43,-0.28,0.91,n,1715785565486
"
580",-0.98,-15.81,-1.22,-0.42,-0.28,0.91,n,1715785565486
"
592",-1.34,-17.15,-1.28,-0.44,-0.29,0.92,n,1715785565486
"
604",-0.31,-19.23,-1.10,-0.43,-0.29,0.91,n,1715785565486
616,-0.37,-19.04,-1.83,-0.40,-0.30,0.92,n,1715785565533
"
628",0.18,-17.94,-2.01,-0.42,-0.29,0.93,n,1715785565533
"
640",0.92,-17.09,-1.95,-0.42,-0.29,0.91,n,1715785565533
