timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,1.59,-18.31,12.08,0.44,-0.75,0.52,n,1715781908283
14,4.64,-20.94,14.59,0.43,-0.77,0.52,n,1715781908580
"
26",7.26,-22.40,16.72,0.43,-0.76,0.52,n,1715781908580
"
38",10.93,-24.72,19.90,0.43,-0.77,0.52,n,1715781908580
"
50",14.71,-28.32,21.91,0.40,-0.78,0.52,n,1715781908580
"
62",18.01,-34.61,21.24,0.38,-0.76,0.52,n,1715781908580
"
74",17.70,-48.34,18.92,0.38,-0.77,0.55,n,1715781908580
"
86",22.28,-56.52,16.78,0.50,-0.77,0.61,n,1715781908580
"
98",17.58,-46.51,21.12,0.57,-0.69,0.60,n,1715781908580
"
110",10.25,-36.99,18.43,0.47,-0.72,0.60,n,1715781908580
"
122",7.81,-39.18,20.63,0.48,-0.68,0.60,n,1715781908580
"
134",1.83,-36.93,19.59,0.48,-0.67,0.58,n,1715781908580
"
146",-6.23,-33.20,18.74,0.49,-0.66,0.59,n,1715781908580
"
158",-12.39,-25.33,17.58,0.50,-0.66,0.56,n,1715781908580
"
170",-15.87,-18.07,16.91,0.56,-0.67,0.56,n,1715781908580
"
182",-20.08,-5.43,16.97,0.60,-0.66,0.60,n,1715781908580
"
194",-26.79,11.84,13.49,0.61,-0.66,0.61,n,1715781908580
"
206",-34.36,27.16,7.63,0.62,-0.65,0.62,n,1715781908580
"
218",-42.60,43.88,-1.22,0.58,-0.65,0.55,n,1715781908580
"
230",-53.89,56.52,-7.20,0.59,-0.64,0.38,n,1715781908580
"
242",-64.88,82.58,-6.53,0.64,-0.67,0.24,n,1715781908580
"
254",-60.18,119.63,-6.96,0.80,-0.63,0.21,n,1715781908580
"
266",1715781908580
,-59.69,152.71,-22.03,0.95,-0.80,0.52,n,1715781908580
"
278",-61.22,161.25,-38.21,0.90,-1.02,0.67,n,1715781908580
"
290",-56.15,163.39,-38.45,0.76,-1.02,0.79,n,1715781908580
"
302",-55.97,175.23,-25.33,0.81,-0.79,0.70,n,1715781908580
316,-68.30,199.46,-20.14,0.63,-0.74,0.41,n,1715781908668
"
328",-68.60,182.13,0.92,0.16,-0.92,0.32,n,1715781908668
"
340",-34.73,115.30,30.09,-0.17,-0.92,0.30,n,1715781908668
"
352",-7.08,46.02,40.16,-0.11,-0.84,0.44,n,1715781908668
"
364",-0.49,5.62,30.27,-0.14,-0.74,0.53,n,1715781908668
"
376",-16.85,-35.22,21.91,-0.04,-0.76,0.56,n,1715781908668
"
388",-27.65,-55.54,21.67,0.10,-0.83,0.59,n,1715781908668
400,-34.12,-62.13,28.38,0.13,-0.79,0.44,n,1715781908714
"
412",-36.44,-87.40,27.77,0.07,-0.91,0.43,n,1715781908714
