timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,0.55,-9.89,1.59,-0.26,-0.11,1.03,n,1715784751107
15,0.31,-12.82,2.38,-0.30,-0.11,1.04,n,1715784751415
"
27",0.00,-17.82,3.91,-0.29,-0.10,1.04,n,1715784751415
"
39",0.98,-19.23,4.52,-0.27,-0.09,1.05,n,1715784751415
"
51",0.85,-19.10,5.19,-0.28,-0.10,1.06,n,1715784751415
"
63",2.14,-17.82,5.43,-0.29,-0.09,1.05,n,1715784751415
"
75",2.81,-18.01,5.49,-0.29,-0.09,1.05,n,1715784751415
"
87",3.72,-17.76,5.80,-0.28,-0.10,1.04,n,1715784751415
"
99",3.78,-18.49,5.49,-0.27,-0.11,1.03,n,1715784751415
"
111",4.27,-16.48,4.64,-0.26,-0.09,1.00,n,1715784751415
"
123",2.99,-13.92,3.72,-0.27,-0.09,0.98,n,1715784751415
"
135",2.08,-11.72,0.79,-0.29,-0.07,1.00,n,1715784751415
"
147",0.79,-4.15,-1.10,-0.22,-0.06,1.04,n,1715784751415
"
159",-0.31,15.56,-0.49,-0.20,-0.06,1.11,n,1715784751415
"
171",-1.71,53.96,0.49,-0.15,-0.05,1.13,n,1715784751415
"
183",-4.94,112.55,-1.46,-0.14,-0.08,1.15,n,1715784751415
"
195",-1.59,186.71,-6.35,-0.09,-0.06,1.08,n,1715784751415
"
207",-5.62,262.88,-5.80,0.01,-0.06,0.99,n,1715784751415
"
219",-9.83,328.49,-4.33,-0.02,-0.10,0.93,n,1715784751415
"
231",-11.84,374.15,-2.01,-0.12,-0.17,0.88,n,1715784751415
"
243",-9.28,397.46,2.14,-0.32,-0.20,0.76,n,1715784751415
"
255",-4.15,377.01,2.14,-0.54,-0.20,0.70,n,1715784751415
"
267",-4.7,1715784751415
0,310.73,3.30,-0.92,-0.12,0.55,n,1715784751415
"
279",-13.00,212.59,4.52,-1.28,-0.10,0.46,n,1715784751415
"
291",-19.53,80.63,5.07,-1.49,-0.15,0.34,n,1715784751415
"
303",-15.01,-54.81,6.77,-1.48,-0.18,0.38,n,1715784751415
315,-3.23,-169.19,4.70,-1.15,-0.18,0.55,n,1715784751714
"
327",8.97,-235.41,2.01,-0.85,-0.10,0.64,n,1715784751714
"
339",9.09,-266.85,1.28,-0.77,-0.07,0.73,n,1715784751714
"
351",9.09,-281.68,4.46,-0.66,-0.09,0.87,n,1715784751714
"
363",10.99,-275.39,8.30,-0.49,-0.09,0.97,n,1715784751714
"
375",10.44,-253.17,12.51,-0.31,-0.09,0.99,n,1715784751714
"
387",9.40,-213.26,11.96,-0.30,-0.12,0.98,n,1715784751714
"
399",13.49,-175.42,11.11,-0.35,-0.09,0.97,n,1715784751714
"
411",14.40,-140.26,10.80,-0.37,-0.06,0.96,n,1715784751714
"
423",11.23,-106.02,8.06,-0.40,-0.04,0.92,n,1715784751714
"
435",7.69,-73.97,2.75,-0.34,-0.05,0.89,n,1715784751714
"
447",6.59,-51.82,-4.58,-0.26,-0.04,0.88,n,1715784751714
"
459",5.62,-33.57,-5.86,-0.29,-0.09,0.92,n,1715784751714
"
471",0.79,-20.57,-4.70,-0.36,-0.07,0.91,n,1715784751714
"
483",-7.93,-14.04,-5.55,-0.45,-0.08,0.90,n,1715784751714
"
495",-14.04,-5.00,-6.77,-0.42,-0.09,0.89,n,1715784751714
"
507",-19.41,14.77,-10.44,-0.30,-0.12,0.92,n,1715784751714
"
519",-20.69,47.85,-13.37,-0.20,-0.13,1.02,n,1715784751714
"
531",-16.05,93.63,-13.73,-0.13,-0.14,1.05,n,1715784751714
"
543",-11.54,137.94,-12.88,-0.14,-0.15,1.00,n,1715784751714
"
555",-12.45,164.43,-11,1715784751714
.84,-0.27,-0.18,0.92,n,1715784751714
"
567",-14.34,157.96,-8.97,-0.48,-0.20,0.75,n,1715784751714
"
579",-14.40,120.48,-1.89,-0.73,-0.22,0.68,n,1715784751714
"
591",-9.64,55.85,4.21,-0.94,-0.20,0.73,n,1715784751714
"
603",-0.06,-17.76,7.69,-1.00,-0.17,0.82,n,1715784751714
615,4.27,-76.66,8.85,-0.93,-0.14,0.91,n,1715784752026
"
627",5.37,-118.41,7.14,-0.75,-0.15,0.96,n,1715784752026
"
639",9.22,-136.90,4.09,-0.59,-0.15,0.96,n,1715784752026
"
651",11.41,-139.47,6.16,-0.51,-0.14,0.93,n,1715784752026
"
663",12.27,-128.42,9.77,-0.50,-0.12,0.90,n,1715784752026
"
675",12.57,-121.03,12.02,-0.55,-0.10,0.92,n,1715784752026
"
687",8.91,-113.71,13.00,-0.55,-0.09,0.94,n,1715784752026
"
699",4.64,-108.76,9.16,-0.49,-0.14,0.99,n,1715784752026
"
711",2.87,-94.73,4.82,-0.35,-0.13,0.96,n,1715784752026
"
723",0.98,-69.52,0.79,-0.15,-0.04,0.94,n,1715784752026
"
735",0.06,-31.19,-1.65,-0.07,-0.11,1.00,n,1715784752026
"
747",0.85,29.91,0.92,-0.12,-0.09,1.02,n,1715784752026
"
759",-2.20,83.01,1.10,-0.25,-0.06,0.91,n,1715784752026
"
771",-7.75,117.74,-0.67,-0.33,-0.10,0.89,n,1715784752026
"
783",-10.50,142.94,-1.59,-0.31,-0.13,0.92,n,1715784752026
"
795",-11.78,170.41,-0.79,-0.30,-0.13,0.98,n,1715784752026
"
807",-12.82,196.72,-0.31,-0.30,-0.18,0.98,n,1715784752026
"
819",-10.62,213.26,-2.08,-0.38,-0.20,0.92,n,1715784752026
"
831",-9.09,209.05,-2.08,-0.56,-0.19,0.78,n,1715784752026
"
843",-10.38,174.56,0.98,-0.74,-0.17,0.64,n,1715784752026
"
855",-10.50,109.50,2.32,"-0.97,",1715784752026
-0.17,0.44,n,1715784752026
"
867",-4.46,17.76,2.50,-1.20,-0.18,0.43,n,1715784752026
"
879",7.69,-84.78,0.12,-1.28,-0.18,0.62,n,1715784752026
"
891",19.47,-184.75,-5.31,-1.08,-0.12,0.79,n,1715784752026
"
903",19.10,-257.69,-10.80,-0.80,-0.05,0.91,n,1715784752026
"
915",9.28,-297.24,-15.50,-0.45,-0.13,0.90,n,1715784752026
928,4.88,-295.96,-19.10,-0.23,-0.22,0.96,n,1715784752121
"
940",8.48,-260.93,-11.96,-0.16,-0.13,0.99,n,1715784752121
"
952",6.35,-199.52,-3.54,-0.23,-0.06,1.07,n,1715784752121
"
964",3.60,-135.62,-1.34,-0.35,-0.11,1.07,n,1715784752121
"
976",6.77,-84.23,-2.93,-0.42,-0.15,1.00,n,1715784752121
"
988",7.32,-43.09,-4.64,-0.34,-0.09,0.85,n,1715784752121
"
1000",2.81,-13.73,-8.24,-0.31,-0.10,0.85,n,1715784752121
1012,3.97,7.81,-8.36,-0.37,-0.12,0.96,n,1715784752328
"
1025",2.32,19.47,-3.23,-0.55,-0.09,0.93,n,1715784752328
"
1037",-5.07,14.34,-1.89,-0.54,-0.08,0.89,n,1715784752328
"
1049",-10.68,11.54,-0.12,-0.41,-0.12,0.89,n,1715784752328
"
1061",-12.57,27.77,2.01,-0.33,-0.16,0.92,n,1715784752328
"
1073",-12.45,58.53,5.62,-0.25,-0.13,0.95,n,1715784752328
"
1085",-10.62,103.70,9.09,-0.24,-0.13,1.04,n,1715784752328
"
1097",-7.45,151.67,11.60,-0.24,-0.17,1.07,n,1715784752328
"
1109",-5.80,187.32,12.63,-0.33,-0.21,1.00,n,1715784752328
"
1121",-2.32,190.43,11.90,-0.54,-0.22,0.93,n,1715784752328
"
1133",2.14,158.63,8.73,-0.72,-0.18,0.80,n,1715784752328
"
1145",2.50,91.43,5.62,-0.88,-0.15,0.58,n,1715784752328
"
1157",4.33,-1.59,1.10,-1.16,-0.16,0.57,n,1715784752328
"
1169",15.14,-116.03,-2.20,-1.13,-0.20,0.64,n,1715784752328
"
1181",20.57,-199.71,-5.62,-0.88,-0.15,0.84,n,1715784752328
"
1193",16.85,-249.69,-9.16,-0.60,-0.11,1.00,n,1715784752328
"
1205",7.32,-264.59,-11.90,-0.37,-0.12,1.07,n,1715784752328
"
1217",4.70,-246.77,-12.88,-0.15,-0.18,1.02,n,1715784752328
1229,7.81,-202.58,-12.39,-0.07,-0.17,1.04,n,1715784752639
"
1241",12.63,-144.23,-3.91,-0.16,-0.11,1.02,n,1715784752639
"
1253",11.96,-91.43,1.83,-0.32,-0.10,1.01,n,1715784752639
"
1265",10.80,-53.04,2.38,-0.35,-0.14,1.01,n,1715784752639
"
1277",8.12,-26.43,1.83,-0.39,-0.13,0.92,n,1715784752639
"
1289",2.99,-11.35,1.34,-0.35,-0.07,0.90,n,1715784752639
"
1301",-0.18,8.18,0.73,-0.26,-0.08,0.91,n,1715784752639
"
1313",-5.43,43.40,1.71,-0.26,-0.09,0.93,n,1715784752639
"
1325",-6.10,91.25,4.27,-0.17,-0.11,0.97,n,1715784752639
"
1337",-6.84,152.83,4.88,-0.08,-0.13,1.03,n,1715784752639
"
1349",-9.16,221.25,4.21,-0.12,-0.17,1.07,n,1715784752639
